,Favs,RTs,Followers,Following,Listed,likes,tweets,Word Count,Tweet Id,User Name,result
970,0.0,0.0,1440.0,729.0,49.0,2561.0,124536.0,19.0,1.0372642110118093e+18,Research UMCG,-22134.573480475257
971,0.0,180.0,680.0,1941.0,51.0,1521.0,99145.0,13.0,1.0389831779209503e+18,半分、黒いオレ,-17135.17489692994
972,0.0,1.0,1591.0,3054.0,132.0,1401.0,136479.0,10.0,8.796937716167352e+17,AIMS Community,-23375.76301143241
973,0.0,0.0,593.0,299.0,103.0,695.0,226.0,19.0,1.0399043450624408e+18,TMJ-SAC Nursing Jobs,-333.46847138409635
974,0.0,0.0,64.0,165.0,0.0,14575.0,215994.0,17.0,1.0395284442860093e+18,Ulises T. Der Jäger,-41788.254499273906
975,0.0,1.0,2939.0,2816.0,135.0,11200.0,199856.0,1.0,1.037087777807061e+18,Lupicinio Iñiguez-Rueda,-37949.71743505321
976,18.0,18.0,4874.0,2005.0,390.0,6891.0,147852.0,14.0,8.782913121973697e+17,Jöran,-28035.31651329671
977,0.0,0.0,1323.0,919.0,18.0,128.0,9874.0,21.0,1.0373082475631085e+18,Zayd Amjad,-1827.2460255031563
978,0.0,0.0,2802.0,1091.0,191.0,6872.0,4485.0,35.0,1.0366438059514184e+18,Haltech,-3586.0793988559612
979,0.0,0.0,664.0,398.0,38.0,99.0,8500.0,25.0,1.0372833401251309e+18,Big Data Campus,-1531.0112276977625
980,0.0,0.0,3059.0,1538.0,87.0,295.0,99625.0,29.0,1.0373018185129574e+18,ScholasticUKTeachers,-17283.136153073345
981,15.0,5.0,740.0,682.0,94.0,5572.0,136479.0,19.0,1.0346897140732888e+18,Hans van der Kwast,-25104.966741877197
982,0.0,0.0,337.0,290.0,5.0,605.0,64991.0,14.0,8.797746328528159e+17,Justice Center PSU,-11223.344560460906
983,18.0,7.0,398127.0,413.0,7376.0,3531.0,125466.0,14.0,1.0389162061059645e+18,Digital Photography School (dPS),-98806.55874777383
984,1.0,0.0,6464.0,2694.0,401.0,45.0,64991.0,14.0,1.0371281771417025e+18,Mr. Penguin,-11744.880928935807
985,0.0,0.0,1433.0,899.0,22.0,889.0,88457.0,14.0,1.037132134740308e+18,NAFI,-15408.447272402742
